Cornell Research Foundation Inc.,The United States of America represented by the Department of Health and Human Services
Cornell Research Foundation Inc.,The Regents of the University of California
The United States of America represented by the Department of Health and Human Services,The Regents of the University of California
The Regents of the University of California,THE UNIVERSITY OF CONNECTICUT
The Regents of the University of California,The Board of Trustees of the Leland Stanford Junior University
The Regents of the University of California,The Regents of The University of Michigan
The Regents of the University of California,California Institute of Technology
Sakai Chemical Industry Co. Ltd.,Panasonic Corporation
Panasonic Corporation,Agency for Science Technology and Research
Shin-Etsu Polymer Co. Ltd.,Denso Corporation
Shin-Etsu Polymer Co. Ltd.,Shin-Etsu Chemical Co. Ltd.
Denso Corporation,Saga University
Denso Corporation,The University of Tokyo
Denso Corporation,Shin-Etsu Chemical Co. Ltd.
Shin-Etsu Chemical Co. Ltd.,Toppan Printing Co. Ltd.
Shin-Etsu Chemical Co. Ltd.,Matsugaki Chemical Industries Co. Ltd.
Shin-Etsu Chemical Co. Ltd.,International Business Machines Corporation
Shin-Etsu Chemical Co. Ltd.,TOKYO METROPOLITAN UNIVERSITY
Shin-Etsu Chemical Co. Ltd.,Kao Corporation
JSR CORPORATION,Bridgestone Corporation
Bridgestone Corporation,Bridgestone Sports Co. Ltd.
Bridgestone Corporation,Kao Corporation
Brigham and Women's Hospital,The Regents of The University of Michigan
Brigham and Women's Hospital,Trustees of Boston University
Brigham and Women's Hospital,University of Southern California
Trustees of Boston University,University of Southern California
Toppan Printing Co. Ltd.,Sharp Kabushiki Kaisha
Nichia Corporation,Dowa Electronics Materials Co. Ltd.
Dowa Electronics Materials Co. Ltd.,DOWA IP CREATION CO. LTD.
Dowa Electronics Materials Co. Ltd.,The University of Tokyo
Central Glass Co. Ltd.,International Business Machines Corporation
International Business Machines Corporation,The University of Melbourne
International Business Machines Corporation,The Board of Trustees of the Leland Stanford Junior University
International Business Machines Corporation,Agency for Science Technology and Research
International Business Machines Corporation,Florey Institute of Neuroscience and Mental Health
The University of Tokyo,Riken
The University of Tokyo,Otsuka Chemical Co. Ltd.
The University of Tokyo,National Institute of Radiological Sciences
The University of Tokyo,NTT DOCOMO INC.
Lawrence Livermore National Security LLC.,The Board of Trustees of the Leland Stanford Junior University
Riken,National Institute of Radiological Sciences
Japan Science and Technology Agency,California Institute of Technology
California Institute of Technology,BP Chemicals Limited
The University of Melbourne,Florey Institute of Neuroscience and Mental Health
The University of Melbourne,CSL LIMITED
Otsuka Chemical Co. Ltd.,Stella Chemifa Corporation
