ID,Patent_industry,University,Patent_count,Turnover_lay,Turnover_2012,Total_assets_2012,Employees_2012,R&D_2012,Country_code
The Regents of the University of California,2,1,5684,0,0,0,0,0,1
The Regents of The University of Michigan,2,1,378,350000,0,0,0,0,1
University of Southern California,2,1,315,3000000,0,0,0,0,1
Massachusetts Institute of Technology,2,1,1350,750000,0,0,0,0,1
Industry-University Cooperation Foundation Hanyang University,2,1,70,0,0,0,0,0,9
Seoul National University Industry Foundation,2,1,42,64922,0,0,0,0,8
Samsung Electronics Co. Ltd.,2,0,164500,1590113,2370656,943428,301,0,4
Samsung Display Co. Ltd.,2,0,4319,32034708,20303892,32639843,0,0,8
HYUNDAI MOBIS CO. LTD.,2,0,64,32830060,28758657,28065567,0,324313,8
UNIVERSITY-INDUSTRY COOPERATION GROUP OF KYUNG HEE UNIVERSITY,2,1,12,0,0,0,0,0,9
Microsoft Corporation,2,0,12528,110360000,73723000,121271000,94000,9811000,1
Matsushita Electric Industrial Co. Ltd.,2,0,48,75168694,77568192,57332047,293742,5334286,4
Industry-Academia Cooperation Group of Sejong University,2,1,6,0,0,0,0,0,9
QUALCOMM Incorporated,2,0,3008,22732000,19121000,43012000,26600,3915000,1
National University of Sciences & Technology,2,1,3,0,0,0,0,0,1
Research Foundation of State University of New York,2,1,120,7500000,0,0,0,0,1
Hewlett-Packard Development Company L.P.,2,0,2370,52056000,120357000,108768000,331800,3399000,1
Korea University Industrial & Academic Collaboration Foundation,2,1,6,0,0,0,0,0,9
University of Washington,2,1,63,750000,0,0,0,0,1
Korea Advanced Institue of Science & Technology,2,0,480,109390,109583,130761,0,0,8
University of Seoul Industry Cooperation Foundation,2,1,8,566648,583742,362104,0,0,8
Kia Motors Corp.,2,0,34,50009976,44127529,30261828,0,523137,8
Nextwill Co. Ltd.,2,0,3,0,0,0,0,0,8
Industry-Academic Cooperation Foundation Yonsei University,2,1,546,697852,0,0,0,0,8
AT&T MOBILITY II LLC,2,0,745,160546000,127434000,272315000,242000,0,1
Nextwill,2,0,1,0,0,0,0,0,9
Seoul National University of Technology Center for Industry Collaboration,2,1,4,0,0,0,0,0,9
Globrf Co. Ltd.,2,0,1,40734,51918,50256,0,1295,8
Kia Motors Corporation,2,0,832,50009976,44127529,30261828,0,523137,8
Korea University of Technology and Education Industry-University Cooperation Foundation,2,1,4,115918,0,0,0,0,8
Intel Corporation,2,0,66132,62761000,53341000,84351000,105000,10148000,1
SK Telecom Co. Ltd.,2,0,20,16366196,15076975,23907677,0,284474,8
Industrial Cooperation Foundation Korea National University of Transportation,2,1,1,0,0,0,0,0,9
General Electric Company,2,0,82728,120468000,144121000,684999000,305000,0,1
IHC Health Services,2,0,2,3000000,0,0,0,0,1
Research & Business Foundation Sungkyunkwan University,2,1,33,382230,0,0,0,0,8
Sejong University Industry-Academy Cooperation Foundation,2,1,2,0,0,0,0,0,9
University of Michigan,2,1,1,3000000,0,0,0,0,1
Toyota Motor Engineering & Manufacturing North America Inc.,2,0,680,276669260,234351491,376880705,333498,8576251,4
Intel Mobile Communications GmbH,2,0,590,3300234,2618209,1672879,1471,0,7
RESEARCH BUSINESS FOUNDATION SUNGKYUNKWAN UNIVERSITY,2,1,6,382230,0,0,0,0,8
UNIVERSITY OF NOTRE DAME,2,1,12,350000,0,0,0,0,1
Oregon Health & Science University,2,1,18,350000,0,0,0,0,1
Kobe Steel Limited,2,0,468,17715019,17902592,23653702,36018,326745,4
Institute for Research & Industry Cooperation PNU,2,1,4,0,0,0,0,0,6
Electronics and Telecommunications Research Institute,2,0,7030,522227,487606,539260,1996,0,8
Ford Global Technologies LLC,2,0,1662,156776000,0,189406000,171000,0,1
Kwangwoon University Research Institute for Industry Cooperation,2,1,1,0,0,0,0,0,9
LCLINK Co. Ltd.,2,0,1,0,0,0,0,0,9
Rutgers University,2,1,2,0,0,0,0,0,1
SNU R&DB FOUNDATION,2,0,78,0,0,0,0,0,1
Yonsei University Office of Research Affairs,2,1,1,697852,0,0,0,0,8
Raytheon Company,2,0,1956,25348000,24414000,26686000,67800,451000,1
Board of Regents University of Texas System,2,1,1064,0,0,0,0,0,1
Purdue Research Foundation,2,1,360,0,0,0,0,0,9
Seoul Republic of Korea,2,0,1,0,0,0,0,0,9
Changwon National University Industry Academy Cooperation Corps,2,1,2,0,0,0,0,0,9
Korea University Research and Business Foundation,2,1,68,275158,209309,139725,109,0,8
AT&T INTELLECTUAL PROPERTY I L.P.,2,0,7656,160546000,127434000,272315000,242000,0,1
LG Electronics Inc.,2,0,13156,57352903,51487598,32473426,0,408445,8
University of Seoul Foundation of Industry Academic Cooperation,2,1,1,566648,583742,362104,0,0,8
Quantum Corporation,2,0,120,505345,587439,368882,1660,73960,1
Carnegie Mellon University,2,1,14,350000,0,0,0,0,1
INDUSTRY-ACADEMIC COOPERATION FOUNDATION GYEONGSANG NATIONAL UNIVERSITY,2,1,3,0,0,0,0,0,9
Ajou University Industry-Academic Cooperation Foundation,2,1,4,0,0,0,0,0,9
Siemens Medical Solutions USA Inc.,2,0,204,1217145,0,0,0,0,1
GM Global Technology Operations Inc.,2,0,4977,145588000,152256000,149422000,213000,0,1
Hyundai America Technical Center Inc.,2,0,1,0,0,0,0,0,8
GWANGJU INSTITUTE OF SCIENCE AND TECHNOLOGY,2,0,65,164323,127134,421752,286,0,8
The President and Fellows of Harvard College,2,0,100,37500,0,0,0,0,1
Hyundai Motor Company,2,0,3839,90029031,78899421,113523083,0,641328,8
Postech Academy-Industry Foundation,2,0,0,0,0,0,0,0,1
Samsung Techwin Co. Ltd.,2,0,0,0,0,0,0,0,0
The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,2,0,0,0,0,0,0,0,1
UNIVERSIDADE DO PORTO,2,0,0,0,0,0,0,0,0
London Health Sciences Center,2,0,0,0,0,0,0,0,2
